id,name,country,latitude,longitude,temp,temp_max,temp_min,humidity,cloudiness,wind_speed
3380290,Sinnamary,GF,5.38,-52.95,80.11,80.11,80.11,80.0,100,12.66
2137773,Vao,NC,-22.67,167.48,73.35,73.35,73.35,83.0,99,13.27
3451138,Rio Grande,BR,-32.03,-52.1,63.0,63.0,63.0,85.0,100,8.99
2112309,Katsuura,JP,35.13,140.3,66.22,68.0,64.0,59.0,20,10.29
2090021,Namatanai,PG,-3.67,152.43,82.67,82.67,82.67,74.0,60,2.53
3353383,Rundu,NA,-17.93,19.77,67.33,67.33,67.33,24.0,3,3.76
3979819,Zacualpan,MX,21.25,-105.17,84.2,84.2,84.2,83.0,20,2.24
4676798,Brownwood,US,31.71,-98.99,77.0,77.0,77.0,57.0,75,10.29
1636544,Manado,ID,1.49,124.85,91.4,91.4,91.4,49.0,20,9.17
7626370,Bud,NO,62.91,6.91,39.2,39.2,39.2,93.0,100,9.17
3421719,Narsaq,GL,60.92,-46.05,30.2,30.2,30.2,86.0,100,2.24
2541479,Nador,MA,35.17,-2.93,70.63,71.6,69.8,73.0,99,4.7
2122574,Ola,RU,59.58,151.28,30.74,30.74,30.74,80.0,0,4.32
2159220,Mackay,AU,-21.15,149.2,84.2,84.2,84.2,54.0,40,14.99
3424607,Tasiilaq,GL,65.61,-37.64,32.0,32.0,32.0,96.0,100,18.34
2144604,Warragul,AU,-38.17,145.93,64.0,64.0,64.0,70.0,100,3.0
2109528,Buala,SB,-8.14,159.59,87.53,87.53,87.53,62.0,100,4.79
140463,Birjand,IR,32.87,59.22,37.4,37.4,37.4,15.0,0,9.17
3939761,Hualmay,PE,-11.1,-77.61,63.36,63.36,63.36,80.0,47,8.3
1494482,Polunochnoye,RU,60.87,60.42,28.36,28.36,28.36,97.0,89,5.64
2123814,Leningradskiy,RU,69.38,178.42,35.37,35.37,35.37,83.0,48,8.77
1263942,Manavālakurichi,IN,8.13,77.3,78.8,78.8,78.8,88.0,20,1.12
679248,Dobreşti,RO,46.85,22.3,41.0,41.0,41.0,86.0,49,6.93
4947459,Pittsfield,US,42.45,-73.25,57.7,59.0,57.0,87.0,90,0.74
2138555,Poum,NC,-20.23,164.02,75.63,75.63,75.63,67.0,1,3.11
2032201,Bulgan,MN,48.81,103.53,29.28,29.28,29.28,83.0,0,3.78
1024312,Mocuba,MZ,-16.84,36.99,73.74,73.74,73.74,66.0,1,3.33
1267390,Kavaratti,IN,10.57,72.64,81.86,81.86,81.86,70.0,86,8.01
886763,Masvingo,ZW,-20.06,30.83,66.87,66.87,66.87,42.0,0,7.45
5742974,North Bend,US,43.41,-124.22,57.09,59.0,55.4,87.0,1,8.05
2630299,Hofn,IS,64.25,-15.21,35.89,35.89,35.89,74.0,38,6.85
5972291,Havre-St-Pierre,CA,50.23,-63.6,41.0,41.0,41.0,93.0,40,18.34
