base,visibility,dt,timezone,id,name,cod,rain,snow,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,speed,deg,gust,type,id.1,country,sunrise,sunset,0,1,2,3,all
stations,10000,1603247144,28800,2037075,Hailin,200,,,129.42,44.58,57.72,46.38,57.72,57.72,1014.0,38.0,1014.0,979.0,13.87,204.0,,,,CN,1603230300,1603268914,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",,,,100
stations,10000,1603247144,18000,609919,Quryq,200,,,51.65,43.2,50.36,46.54,50.36,50.36,1025.0,64.0,1025.0,1029.0,2.37,10.0,,,,KZ,1603248866,1603287674,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}",,,,100
stations,10000,1603247145,32400,2018735,Nyurba,200,,,118.33,63.28,19.56,11.5,19.56,19.56,1011.0,95.0,1011.0,997.0,5.19,225.0,,,,RU,1603235497,1603269040,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}",,,,53
stations,10000,1603247145,3600,2654545,Helmsdale,200,,,-3.65,58.12,51.51,47.48,51.01,51.8,992.0,100.0,,,8.05,70.0,,1.0,1460.0,GB,1603263850,1603299231,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",,,,75
stations,10000,1603247145,0,3372472,Vila Franca do Campo,200,,,-25.43,37.72,59.0,52.65,59.0,59.0,1016.0,72.0,,,11.41,330.0,,1.0,6899.0,PT,1603266960,1603306574,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}",,,,40
stations,10000,1603247145,0,2629833,Husavik,200,,,-17.34,66.04,23.0,16.21,23.0,23.0,1014.0,92.0,,,3.36,170.0,,1.0,83.0,IS,1603268823,1603300828,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",,,,63
stations,10000,1603247146,32400,1850523,Tateyama,200,,,139.87,34.98,67.46,55.4,66.2,68.0,1025.0,55.0,,,21.92,30.0,,1.0,8070.0,JP,1603227076,1603267122,"{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}",,,,20
stations,10000,1603247146,28800,1799384,Ninghai,200,,,121.42,29.29,67.15,70.43,64.99,70.0,990.0,82.0,,,1.01,0.0,4.0,3.0,2017325.0,CN,1603231159,1603271895,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",,,,100
stations,10000,1603247147,7200,964712,Plettenberg Bay,200,,,23.37,-34.05,53.06,51.1,53.06,53.06,1023.0,79.0,1023.0,1017.0,2.13,12.0,,,,ZA,1603251426,1603298687,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,0
stations,10000,1603247147,21600,1528606,Kemin,200,,,75.69,42.78,52.41,46.0,52.41,52.41,1020.0,34.0,1020.0,893.0,3.4,101.0,,,,KG,1603243057,1603281945,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}",,,,0
stations,10000,1603246892,-14400,3576994,Cockburn Town,200,,,-71.14,21.46,81.73,83.43,81.73,81.73,1011.0,79.0,1011.0,1011.0,14.92,77.0,,,,TC,1603190537,1603232154,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}",,,,89
stations,10000,1603247148,25200,1655140,Pakxan,200,,,103.66,18.38,74.1,75.47,74.1,74.1,1016.0,73.0,1016.0,997.0,6.87,45.0,,,,LA,1603234843,1603276735,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",,,,91
stations,3105,1603247148,-18000,3685295,Dabeiba,200,,,-76.27,7.0,74.71,80.78,74.71,74.71,1011.0,78.0,1011.0,962.0,0.54,304.0,,,,CO,1603191088,1603234066,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}",,,,94
stations,10000,1603247148,7200,901344,Ndola,200,,,28.64,-12.96,65.32,60.12,65.32,65.32,1011.0,38.0,1011.0,872.0,4.97,103.0,,,,ZM,1603251378,1603296206,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,4
stations,5000,1603247148,32400,2019488,Namtsy,200,,,129.67,62.72,21.2,12.36,21.2,21.2,1010.0,92.0,,,6.71,350.0,,1.0,8854.0,RU,1603232648,1603266447,"{'id': 620, 'main': 'Snow', 'description': 'light shower snow', 'icon': '13d'}",,,,75
stations,10000,1603247148,10800,1068670,Bealanana,200,,,48.73,-14.55,61.79,61.75,61.79,61.79,1015.0,85.0,1015.0,897.0,4.14,105.0,,,,MG,1603246479,1603291462,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",,,,93
stations,10000,1603247149,39600,2173125,Burnie,200,,,145.92,-41.07,59.0,51.96,59.0,59.0,991.0,63.0,,,11.01,346.0,14.0,3.0,50154.0,AU,1603221497,1603269798,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}",,,,64
stations,10000,1603247149,25200,2014833,Tura,200,,,100.25,64.28,10.81,3.94,10.81,10.81,1014.0,95.0,1014.0,968.0,1.9,233.0,,,,RU,1603240078,1603273137,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",,,,88
stations,10000,1603247149,7200,2212775,Sabha,200,,,14.43,27.04,66.69,61.29,66.69,66.69,1019.0,62.0,1019.0,971.0,11.36,53.0,,,,LY,1603256719,1603297684,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}",,,,27
stations,1261,1603247149,-7200,3420768,Qasigiannguit,200,,,-51.19,68.82,33.8,25.14,33.8,33.8,1005.0,95.0,,,9.17,200.0,,1.0,165.0,GL,1603277867,1603308031,"{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}",,,,100
stations,10000,1603247150,28800,1637001,Luwuk,200,,,122.79,-0.95,85.78,89.13,85.78,85.78,1011.0,58.0,1011.0,1010.0,6.96,210.0,,,,ID,1603229352,1603273044,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}",,,,81
stations,10000,1603247150,-18000,3692020,Nauta,200,,,-73.58,-4.51,75.94,83.32,75.94,75.94,1009.0,82.0,1009.0,999.0,0.49,163.0,,,,PE,1603189925,1603233937,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}",,,,100
stations,10000,1603247150,28800,1529484,Kumul,200,,,93.45,42.8,55.09,46.67,55.09,55.09,1020.0,34.0,1020.0,934.0,7.47,103.0,,,,CN,1603238792,1603277686,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}",,,,0
stations,10000,1603246920,-18000,3654410,Manta,200,,,-80.73,-0.95,73.4,72.0,73.4,73.4,1011.0,78.0,,,12.75,210.0,,1.0,8552.0,EC,1603191802,1603235492,"{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}",,,,20
stations,10000,1603247151,-18000,3522526,Nuevo Progreso,200,,,-97.95,23.17,73.69,76.05,73.0,73.99,1016.0,66.0,,,2.71,54.0,,3.0,2033166.0,MX,1603197061,1603238498,"{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}",,,,14
stations,10000,1603247151,0,2359608,Kaya,200,,,-1.08,13.09,84.49,81.7,84.49,84.49,1009.0,36.0,1009.0,972.0,7.47,206.0,,,,BF,1603259729,1603302119,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,3
stations,10000,1603247152,-14400,3577430,Road Town,200,,,-64.62,18.42,82.13,87.58,82.0,82.4,1012.0,69.0,,,4.7,240.0,,1.0,8786.0,VG,1603188822,1603230740,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}",,,,40
stations,10000,1603247152,32400,2012593,Zeya,200,,,127.27,53.75,38.84,33.51,38.84,38.84,1003.0,89.0,1003.0,975.0,4.18,95.0,,,,RU,1603231764,1603268482,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",,,,100
stations,10000,1603247152,-14400,6316343,Alta Floresta,200,,,-56.09,-9.88,77.74,82.26,77.74,77.74,1011.0,62.0,1011.0,979.0,0.36,221.0,,,,BR,1603185482,1603229986,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,0
stations,10000,1603247152,-28800,5557293,Sitka,200,,,-135.33,57.05,42.8,37.78,42.8,42.8,1020.0,75.0,,,3.53,336.0,,1.0,7795.0,US,1603208803,1603244696,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",,,,75
stations,10000,1603247153,-14400,5889745,Hauterive,200,,,-68.27,49.18,33.8,28.06,33.8,33.8,1029.0,86.0,,,3.36,270.0,,1.0,747.0,CA,1603191734,1603229580,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,1
stations,10000,1603247153,10800,103630,Najrān,200,,,44.13,17.49,60.8,55.47,60.8,60.8,1020.0,29.0,,,2.24,240.0,,1.0,7421.0,SA,1603249090,1603291059,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,0
stations,10000,1603247084,-14400,4755280,Danville,200,,,-79.39,36.59,59.77,60.67,57.99,61.0,1024.0,87.0,,,1.68,207.0,,1.0,3786.0,US,1603193384,1603233267,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,1
stations,10000,1603247153,43200,7601762,Bairiki Village,200,,,172.98,1.33,86.0,90.59,86.0,86.0,1007.0,70.0,,,10.29,100.0,,1.0,7300.0,KI,1603217411,1603260896,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}",,,,40
stations,10000,1603247154,10800,1071296,Antalaha,200,,,50.28,-14.9,72.09,71.89,72.09,72.09,1016.0,84.0,1016.0,1015.0,11.3,188.0,,,,MG,1603246090,1603291108,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",,,,100
stations,10000,1603247154,32400,2112444,Kamaishi,200,,,141.88,39.27,59.0,55.78,59.0,59.0,1027.0,58.0,,,3.36,160.0,,1.0,8047.0,JP,1603226889,1603266345,"{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}",,,,20
stations,10000,1603247113,-10800,3407407,Aquiraz,200,,,-38.39,-3.9,80.6,82.6,80.6,80.6,1014.0,74.0,,,11.41,80.0,,1.0,8363.0,BR,1603181509,1603225464,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}",,,,40
stations,10000,1603247154,32400,1623197,Tual,200,{'1h': 0.61},,132.75,-5.67,77.76,81.07,77.76,77.76,1010.0,87.0,1010.0,1010.0,11.05,31.0,,,,ID,1603226746,1603270870,"{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}",,,,100
stations,10000,1603247154,0,3414079,Olafsvik,200,,,-23.71,64.89,42.93,33.8,42.93,42.93,1011.0,75.0,1011.0,1007.0,10.83,216.0,,,,IS,1603270045,1603302663,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}",,,,100
stations,10000,1603247155,-10800,3899695,Ancud,200,,,-73.82,-41.87,42.78,34.57,41.0,45.0,1021.0,75.0,,,9.17,180.0,,1.0,8512.0,CL,1603187801,1603236177,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,0
stations,10000,1603247155,19800,1271934,Fatehābād,200,,,75.45,29.52,70.3,64.13,70.3,70.3,1009.0,23.0,1009.0,984.0,4.29,100.0,,,,IN,1603242210,1603282907,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}",,,,0
stations,10000,1603247048,37800,2173911,Broken Hill,200,,,141.43,-31.95,77.0,69.01,77.0,77.0,1014.0,20.0,,,8.05,100.0,,1.0,9491.0,AU,1603223257,1603270193,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}",,,,0
stations,10000,1603247155,-14400,6945992,Betsiamites,200,,,-68.65,48.94,34.68,29.07,33.8,35.6,1029.0,86.0,,,3.36,270.0,,1.0,747.0,CA,1603191801,1603229695,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,1
