coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
"{'lon': -80.82, 'lat': -5.56}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 65.95, 'feels_like': 61.09, 'temp_min': 65.95, 'temp_max': 65.95, 'pressure': 1013, 'humidity': 76, 'sea_level': 1013, 'grnd_level': 1011}",10000,"{'speed': 13.27, 'deg': 166}",{'all': 4},1603247076,"{'country': 'PE', 'sunrise': 1603191615, 'sunset': 1603235722}",-18000,3691954,Sechura,200,,
"{'lon': 31.11, 'lat': 70.37}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 38.26, 'feels_like': 32.41, 'temp_min': 38.26, 'temp_max': 38.26, 'pressure': 1015, 'humidity': 75, 'sea_level': 1015, 'grnd_level': 1015}",10000,"{'speed': 3.8, 'deg': 345}",{'all': 77},1603247034,"{'country': 'NO', 'sunrise': 1603258676, 'sunset': 1603287722}",7200,777019,Vardø,200,,
"{'lon': 80.55, 'lat': 73.51}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 24.03, 'feels_like': 16.54, 'temp_min': 24.03, 'temp_max': 24.03, 'pressure': 1011, 'humidity': 97, 'sea_level': 1011, 'grnd_level': 1005}",796,"{'speed': 5.01, 'deg': 84}",{'all': 94},1603246909,"{'country': 'RU', 'sunrise': 1603248430, 'sunset': 1603274239}",25200,1507390,Dikson,200,,
"{'lon': -159.78, 'lat': -21.21}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}, {'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",stations,"{'temp': 75.2, 'feels_like': 79.02, 'temp_min': 75.2, 'temp_max': 75.2, 'pressure': 1012, 'humidity': 88}",5000,"{'speed': 8.05, 'deg': 110}",{'all': 100},1603246961,"{'type': 1, 'id': 7271, 'country': 'CK', 'sunrise': 1603209794, 'sunset': 1603255440}",-36000,4035715,Avarua,200,,
"{'lon': 25.91, 'lat': -27.83}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 57.99, 'feels_like': 53.47, 'temp_min': 57.99, 'temp_max': 57.99, 'pressure': 1017, 'humidity': 71, 'sea_level': 1017, 'grnd_level': 878}",10000,"{'speed': 7.52, 'deg': 132}",{'all': 2},1603247077,"{'country': 'ZA', 'sunrise': 1603251225, 'sunset': 1603297669}",7200,995573,Hoopstad,200,,
"{'lon': -98.87, 'lat': 48.11}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 32, 'feels_like': 21.88, 'temp_min': 32, 'temp_max': 32, 'pressure': 1013, 'humidity': 97}",10000,"{'speed': 11.41, 'deg': 280}",{'all': 90},1603246891,"{'type': 1, 'id': 3881, 'country': 'US', 'sunrise': 1603198980, 'sunset': 1603237020}",-18000,5058868,Devils Lake,200,,
"{'lon': -159.32, 'lat': 22.08}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 80.22, 'feels_like': 85.17, 'temp_min': 78.8, 'temp_max': 82, 'pressure': 1013, 'humidity': 83}",10000,"{'speed': 9.17, 'deg': 70}",{'all': 90},1603246980,"{'type': 1, 'id': 7873, 'country': 'US', 'sunrise': 1603211738, 'sunset': 1603253275}",-36000,5848280,Kapaa,200,,
"{'lon': 15.9, 'lat': -0.48}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 70.05, 'feels_like': 74.86, 'temp_min': 70.05, 'temp_max': 70.05, 'pressure': 1010, 'humidity': 96, 'sea_level': 1010, 'grnd_level': 969}",10000,"{'speed': 4, 'deg': 245}",{'all': 84},1603247077,"{'country': 'CG', 'sunrise': 1603255024, 'sunset': 1603298674}",3600,2255542,Owando,200,,
"{'lon': 139.5, 'lat': -20.73}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 98.6, 'feels_like': 91.69, 'temp_min': 98.6, 'temp_max': 98.6, 'pressure': 1011, 'humidity': 13}",10000,"{'speed': 8.05, 'deg': 50}",{'all': 0},1603246999,"{'type': 1, 'id': 9495, 'country': 'AU', 'sunrise': 1603224385, 'sunset': 1603269992}",36000,2065594,Mount Isa,200,,
"{'lon': -25.09, 'lat': 17.2}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 80.6, 'feels_like': 79.95, 'temp_min': 80.6, 'temp_max': 80.6, 'pressure': 1015, 'humidity': 83}",10000,"{'speed': 19.46, 'deg': 70}",{'all': 75},1603247078,"{'type': 1, 'id': 2467, 'country': 'CV', 'sunrise': 1603265692, 'sunset': 1603307680}",-3600,3374346,Ponta do Sol,200,,
